tof,distance,polar,azimuthal,weight
4061.90014648,3.25489,2.31812,-0.379637,0.000149611
3969.80004883,3.21861,2.32009,-0.320889,0.034852
4125.89990234,3.51376,2.25184,-0.622704,0.00121557
3865.69995117,3.25374,2.30181,-0.373894,0.00326511
4098.70019531,3.47096,2.24701,-0.586307,0.031248
3895.30004883,3.40917,2.23901,-0.528144,0.000481206
3897.5,3.42491,2.25784,-0.551683,1.55022e-06
4075.60009766,3.39382,2.26538,-0.526008,0.027405
3866.19995117,3.28299,2.29385,-0.412546,0.00313535
4087.30004883,3.44146,2.26142,-0.568008,0.000754362
4072.0,3.43886,2.21755,-0.543516,0.0117672
3858.19995117,3.27028,2.25707,-0.38059,6.65829e-08
3873.0,3.29725,2.282,-0.426829,0.0025979
4089.30004883,3.29794,2.29795,-0.433137,5.67078e-07
4000.19995117,3.22672,2.32624,-0.336112,0.000102539
3869.69995117,3.22344,2.2936,-0.322799,0.0530302
4080.80004883,3.32297,2.28328,-0.458377,0.0159026
3964.69995117,3.22298,2.26915,-0.312542,0.0290248
4077.90014648,3.24123,2.2806,-0.347667,0.00417625
3864.30004883,3.27414,2.26403,-0.389154,0.0836771
3907.30004883,3.3908,2.24329,-0.512787,0.00303151
4117.80029297,3.50956,2.2095,-0.597124,1.44173e-05
3879.80004883,3.35856,2.27416,-0.494158,0.158594
4111.89990234,3.44538,2.26803,-0.57434,2.87433e-06
3863.10009766,3.29972,2.28135,-0.42969,0.00741036
3866.10009766,3.20906,2.30593,-0.300246,0.0107832
3861.19995117,3.34732,2.27701,-0.48329,7.35099e-09
4087.19995117,3.25635,2.26857,-0.365836,0.000507056
4079.80004883,3.31257,2.28599,-0.447103,0.0509012
4064.90014648,3.33883,2.20045,-0.444285,1.40142e-12
4061.5,3.30358,2.18442,-0.399214,0.0156544
4036.80004883,3.25207,2.2449,-0.352387,0.0618648
3860.0,3.20468,2.2146,-0.268676,1.47377e-07
3913.90014648,3.48917,2.14743,-0.553328,0.0826606
4068.60009766,3.40718,2.16316,-0.494151,0.0021731
3880.40014648,3.3501,2.19018,-0.451962,0.0449966
4058.5,3.33611,2.20105,-0.441651,0.28656
3957.60009766,3.20735,2.23908,-0.280176,0.00347646
3900.69995117,3.46063,2.17504,-0.544131,0.222085
3863.40014648,3.24717,2.22943,-0.341986,3.21633e-05
4058.90014648,3.40607,2.17852,-0.500026,7.83183e-09
3882.0,3.3208,2.22848,-0.433879,0.00404578
4083.80004883,3.39969,2.18747,-0.498046,0.000337288
3892.10009766,3.39057,2.18938,-0.490547,0.0598745
4064.40014648,3.33883,2.20045,-0.444285,0.000149087
4079.60009766,3.26023,2.20998,-0.354526,0.000769748
3835.0,3.23246,2.2,-0.310424,0.000216318
3850.69995117,3.22602,2.25137,-0.314129,4.06803e-16
3917.90014648,3.46757,2.16623,-0.545693,0.0175173
3827.5,3.19263,2.26853,-0.255172,0.000286308
3879.80004883,3.4324,2.21131,-0.535171,3.28575e-06
4082.19995117,3.28514,2.22052,-0.390129,4.51363e-06
4056.10009766,3.2108,2.22982,-0.284241,0.116274
3955.40014648,3.21395,2.2042,-0.281528,0.0302857
4047.69995117,3.23441,2.25775,-0.328227,0.0818017
3847.90014648,3.25138,2.22019,-0.345462,1.73307e-05
3861.80004883,3.2542,2.20323,-0.343811,0.163346
3852.69995117,3.22344,2.22679,-0.304917,0.0198912
3851.69995117,3.24579,2.20513,-0.332488,0.00243913
4071.80004883,3.29479,2.2183,-0.401194,0.000531952
3887.0,3.35055,2.22163,-0.463313,0.000256143
3879.0,3.24443,2.25522,-0.343027,0.00540916
3951.10009766,3.19415,2.26813,-0.258278,1.3014e-10
3915.30004883,3.43777,2.17212,-0.524361,0.00128058
4079.60009766,3.29502,2.22636,-0.403783,6.69395e-09
3900.30004883,3.36716,2.18657,-0.467398,0.000741682
3942.69995117,3.19815,2.25845,-0.265713,0.0822777
4045.90014648,3.40917,2.17788,-0.50249,1.67831e-06
3985.10009766,3.20706,2.26477,-0.28294,1.11074e-07
4051.0,3.27575,2.21456,-0.376516,0.00312777
3824.10009766,3.25277,2.19546,-0.338793,2.05887e-06
3974.60009766,3.21325,2.2126,-0.283398,6.32277e-12
3863.30004883,3.22862,2.25922,-0.319274,0.0270486
3863.10009766,3.20067,2.23228,-0.266316,1.84586e-11
3879.5,3.35268,2.2053,-0.460184,0.532839
3855.60009766,3.19975,2.25804,-0.268779,0.000261717
4065.30004883,3.41028,2.21615,-0.517799,0.00686368
4063.69995117,3.33611,2.20896,-0.444414,0.132629
